89812,685,0
89739,733,25
89681,764,52
89604,814,79
89510,885,102
89403,948,146
89309,1006,182
89195,1085,217
89097,1155,245
88980,1230,287
88855,1292,350
88716,1371,410
88599,1438,460
88448,1521,528
88318,1598,581
88178,1670,649
88014,1773,710
87862,1861,774
87678,1976,843
87487,2088,922
87282,2207,1008
87068,2322,1107
86848,2431,1218
86618,2562,1317
86390,2700,1407
86130,2846,1521
85871,2981,1645
85631,3112,1754
85326,3306,1865
85075,3411,2011
84798,3572,2127
84477,3763,2257
84151,3924,2422
83824,4104,2569
83522,4244,2731
83200,4388,2909
82824,4576,3097
82460,4757,3280
82073,4940,3484
81656,5157,3684
81251,5354,3892
80791,5592,4114
80322,5859,4316
79873,6097,4527
79407,6307,4783
78944,6493,5060
78425,6734,5338
77899,7013,5585
77359,7268,5870
76763,7560,6174
76200,7822,6475
75544,8171,6782
74917,8483,7097
74260,8801,7436
73600,9160,7737
72930,9464,8103
72223,9799,8475
71528,10112,8857
70788,10464,9245
70081,10739,9677
69379,11054,10064
68628,11353,10516
67860,11658,10979
67073,11985,11439
66237,12345,11915
65448,12662,12387
64617,13002,12878
63843,13274,13380
63063,13525,13909
62217,13816,14464
61402,14045,15050
60589,14265,15643
59751,14571,16175
58870,14853,16774
57991,15153,17353
57081,15430,17986
56202,15674,18621
55320,15900,19277
54499,16098,19900
53674,16222,20601
52796,16483,21218
51893,16749,21855
51063,16902,22532
50228,17042,23227
49422,17178,23897
48681,17182,24634
47835,17326,25336
47065,17396,26036
46327,17480,26690
45549,17538,27410
44854,17540,28103
44136,17567,28794
43381,17608,29508
42671,17620,30206
41967,17621,30909
41269,17613,31615
40595,17548,32354
39956,17482,33059
39287,17470,33740
38661,17423,34413
38039,17382,35076
37447,17296,35754
36873,17148,36476
36263,17052,37182
35734,16912,37851
35170,16787,38540
34616,16671,39210
34075,16508,39914
33556,16283,40658
33059,16117,41321
32570,15917,42010
32107,15772,42618
31686,15550,43261
31245,15402,43850
30837,15205,44455
30435,14948,45114
30041,14721,45735
29676,14462,46359
29312,14280,46905
28973,14039,47485
28645,13757,48095
28303,13551,48643
27967,13349,49181
27652,13153,49692
27355,12920,50222
27056,12702,50739
26754,12534,51209
26475,12352,51670
26214,12136,52147
25913,11968,52616
25681,11688,53128
25434,11457,53606
25179,11262,54056
24964,10995,54538
24737,10753,55007
24500,10572,55425
24295,10374,55828
24084,10141,56272
23896,9892,56709
23700,9676,57121
23546,9446,57505
23345,9263,57889
23174,9053,58270
23006,8832,58659
22820,8677,59000
22629,8511,59357
22481,8311,59705
22329,8120,60048
22161,7966,60370
22030,7778,60689
21896,7587,61014
21762,7437,61298
21637,7249,61611
21520,7067,61910
21414,6901,62182
21286,6752,62459
21183,6573,62741
21076,6429,62992
20971,6253,63273
20897,6077,63523
20813,5913,63771
20732,5763,64002
20651,5572,64274
20552,5452,64493
20482,5337,64678
20396,5207,64894
20316,5078,65103
20234,4949,65314
20150,4855,65492
20076,4753,65668
19993,4655,65849
19928,4532,66037
19869,4432,66196
19814,4327,66356
19744,4206,66547
19681,4111,66705
19616,4004,66877
19553,3911,67033
19513,3790,67194
19460,3683,67354
19413,3585,67499
19364,3507,67626
19306,3426,67765
19268,3318,67911
19225,3240,68032
19187,3146,68164
19141,3064,68292
19104,2982,68411
19076,2887,68534
19040,2798,68659
19009,2703,68785
18969,2637,68891
18948,2549,69000
18913,2474,69110
18879,2416,69202
18853,2352,69292
18827,2287,69383
18806,2207,69484
18779,2144,69574
18749,2098,69650
18712,2059,69726
18689,2016,69792
18662,1959,69876
18637,1908,69952
18615,1849,70033
18587,1799,70111
18562,1766,70169
18545,1709,70243
18526,1655,70316
18508,1603,70386
18490,1560,70447
18461,1526,70510
18445,1483,70569
18426,1432,70639
18401,1398,70698
18383,1358,70756
18367,1312,70818
18354,1259,70884
18341,1225,70931
18326,1193,70978
