89812,685,0
89789,680,28
89764,684,49
89723,700,74
89686,709,102
89647,712,138
89614,714,169
89585,722,190
89556,715,226
89529,710,258
89506,700,291
89476,711,310
89456,705,336
89426,707,364
89403,713,381
89375,709,413
89338,715,444
89310,711,476
89277,708,512
89256,697,544
89232,692,573
89213,687,597
89185,689,623
89164,686,647
89141,689,667
89118,688,691
89095,679,723
89074,670,753
89056,658,783
89038,656,803
89011,660,826
88983,656,858
88955,654,888
88940,648,909
88919,638,940
88898,637,962
88866,648,983
88847,630,1020
88827,629,1041
88809,620,1068
88782,632,1083
88762,624,1111
88738,628,1131
88710,634,1153
88681,629,1187
88671,613,1213
88655,598,1244
88632,599,1266
88609,608,1280
88588,602,1307
88569,596,1332
88556,589,1352
88534,586,1377
88520,568,1409
88498,573,1426
88479,570,1448
88457,563,1477
88443,554,1500
88423,553,1521
88405,553,1539
88382,553,1562
88367,544,1586
88346,542,1609
88329,545,1623
88306,548,1643
88284,545,1668
88266,542,1689
88245,547,1705
88225,551,1721
88206,548,1743
88191,536,1770
88174,537,1786
88149,545,1803
88123,559,1815
88107,551,1839
88101,536,1860
88084,526,1887
88070,525,1902
88056,517,1924
88039,514,1944
88022,516,1959
88001,516,1980
87979,521,1997
87952,536,2009
87941,524,2032
87922,528,2047
87904,520,2073
87882,515,2100
87862,510,2125
87848,499,2150
87833,482,2182
87816,472,2209
87797,476,2224
87783,467,2247
87764,467,2266
87753,461,2283
87745,453,2299
87735,439,2323
87719,426,2352
87705,421,2371
87692,420,2385
87680,416,2401
87666,410,2421
87648,414,2435
87633,413,2451
87618,416,2463
87606,413,2478
87589,411,2497
87579,410,2508
87567,407,2523
87554,409,2534
87542,403,2552
87534,397,2566
87517,401,2579
87509,391,2597
87493,397,2607
87474,396,2627
87463,390,2644
87446,394,2657
87429,391,2677
87413,390,2694
87406,385,2706
87395,380,2722
87378,373,2746
87363,366,2768
87350,368,2779
87342,366,2789
87334,361,2802
87322,365,2810
87314,361,2822
87305,361,2831
87290,366,2841
87284,361,2852
87270,365,2862
87263,354,2880
87256,345,2896
87247,340,2910
87235,337,2925
87224,334,2939
87218,327,2952
87208,325,2964
87201,321,2975
87189,326,2982
87180,323,2994
87176,313,3008
87166,313,3018
87157,310,3030
87143,308,3046
87133,307,3057
87124,303,3070
87111,305,3081
87107,297,3093
87097,294,3106
87081,299,3117
87074,293,3130
87065,284,3148
87057,285,3155
87051,281,3165
87037,283,3177
87032,273,3192
87026,267,3204
87019,259,3219
87009,258,3230
87000,258,3239
86990,257,3250
86975,261,3261
86970,257,3270
86960,255,3282
86952,246,3299
86945,248,3304
86941,246,3310
86925,253,3319
86914,257,3326
86904,250,3343
86895,248,3354
86888,250,3359
86883,245,3369
86877,239,3381
86868,238,3391
86859,239,3399
86851,231,3415
86845,231,3421
