87160,324,3013
87140,331,3026
87123,341,3033
87101,350,3046
87068,370,3059
87047,371,3079
87030,374,3093
87010,385,3102
86983,393,3121
86953,412,3132
86924,423,3150
86893,441,3163
86863,461,3173
86836,476,3185
86813,486,3198
86792,494,3211
86772,500,3225
86741,517,3239
86699,547,3251
86663,569,3265
86626,583,3288
86596,595,3306
86570,597,3330
86545,603,3349
86506,621,3370
86473,633,3391
86435,643,3419
86393,661,3443
86356,682,3459
86307,705,3485
86261,734,3502
86223,740,3534
86194,744,3559
86157,754,3586
86128,760,3609
86073,783,3641
86033,798,3666
85984,826,3687
85952,822,3723
85924,824,3749
85889,838,3770
