87160,324,3013
87128,325,3044
87114,339,3044
87114,339,3044
87081,351,3065
87062,350,3085
87040,361,3096
87016,375,3106
86981,406,3110
86965,410,3122
86918,445,3134
86897,453,3147
86897,451,3149
86859,452,3186
86806,496,3195
86778,515,3204
86743,522,3232
86724,526,3247
86706,530,3261
86676,528,3293
86593,590,3314
86537,634,3326
86515,632,3350
86483,641,3373
86448,654,3395
86424,654,3419
86395,644,3458
86353,668,3476
86299,674,3524
86264,688,3545
86224,713,3560
86189,725,3583
86172,713,3612
86121,710,3666
86121,709,3667
86068,706,3723
86016,740,3741
86016,740,3741
85949,693,3855
85924,661,3912
85874,685,3938
